player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Nikola Jokic,jokicni01,2023,6435,3112,8.961393288,4.308386388,13.26977968,9.417504462,0.28398393,9.701488391,9.522495986,3.696240246,13.21873623,25.86718649,20.31095212,5.556234367,9.32842589,3.641945093,12.97037098,1.533881009
Joel Embiid,embiijo01,2023,5286,2620,3.955242297,3.961925511,7.917167808,2.071151097,3.723739457,5.794890554,3.724874175,4.101091714,7.825965889,14.22467959,12.82346758,1.401212007,3.938348289,3.533212241,7.471560531,0.463093257
Luka Doncic,doncilu01,2023,4863,2391,8.850354008,-0.325424058,8.52492995,3.659540065,-0.944346459,2.715193606,8.272469954,-0.448861942,7.823608013,12.98439297,12.98439297,0,7.922574452,-0.179550426,7.743024026,0.671190906
Damian Lillard,lillada01,2023,4380,2107,9.445343617,-1.4631822,7.982161417,5.720774028,-1.21516191,4.505612118,9.282637307,-1.466140133,7.816497175,11.52147377,11.52147377,0,9.326933458,-1.449915102,7.877018356,1.444669869
Anthony Davis,davisan02,2023,5327,2512,2.38589145,4.700176892,7.086068342,2.222875962,3.521186469,5.744062431,2.511726349,4.736996561,7.24872291,12.9486932,9.767810382,3.180882814,2.939710495,4.570631837,7.510342332,0.296532141
Kawhi Leonard,leonaka01,2023,3760,1828,4.558913299,1.731872401,6.2907857,4.912047185,1.886975177,6.799022362,4.906030984,1.865048206,6.771079189,8.844287545,8.450784505,0.39350304,4.524804707,1.777308415,6.302113121,-0.539800093
Stephen Curry,curryst01,2023,5300,2434,7.344270161,-1.371424242,5.972845919,5.967626648,0.093915367,6.061542015,7.483711948,-1.165317704,6.318394244,11.53278332,9.290962077,2.241821242,7.542090795,-0.83253008,6.709560714,1.821577389
Jimmy Butler,butleji01,2023,6056,3012,6.424251905,1.263178165,7.687430069,0.196870207,-1.776203304,-1.579333097,5.529826992,0.687050867,6.216877859,13.79729141,10.11291687,3.684374541,4.798709248,1.351321629,6.150030877,-0.628741904
Alex Caruso,carusal01,2023,3274,1575,-0.507253801,5.947729417,5.440475616,1.221988717,5.308633048,6.530621765,-0.142851903,6.133135546,5.990283643,7.039777637,7.039777637,0,-0.263978102,6.359903117,6.095925015,0.23556576
Kyrie Irving,irvinky01,2023,4597,2241,5.674015145,0.422870979,6.096886124,3.818152788,-0.031004275,3.787148513,5.614029838,0.35383528,5.967865118,9.952435022,9.952435022,0,5.855132436,1.003678457,6.858810893,-0.154666239
Tyrese Haliburton,halibty01,2023,3980,1883,6.843374993,-1.151915347,5.691459645,5.110178422,-0.230994264,4.879184159,6.90247665,-0.996754181,5.90572247,8.293653176,8.293653176,0,6.901942533,-0.94972972,5.952212812,-0.266505782
Jrue Holiday,holidjr01,2023,5086,2374,2.910950239,1.768381485,4.679331725,5.353841864,3.148623586,8.50246545,3.585546285,2.121102398,5.706648683,10.34577218,9.311424841,1.034347344,3.967933977,1.73576616,5.703700137,0.715329482
Devin Booker,bookede01,2023,4744,2294,5.616372239,0.0022129,5.618585138,6.085777935,-1.933045959,4.152731976,6.044339993,-0.40810859,5.636231403,9.982043867,6.777622771,3.204421097,5.632922452,0.377524957,6.010447409,0.65083168
Ja Morant,moranja01,2023,4560,2135,5.19458888,0.53938891,5.73397779,0.396839552,2.678593123,3.075432675,4.486401255,0.976244155,5.46264541,9.047949834,8.390999269,0.656950565,3.426531292,1.033070727,4.459602019,0.937694732
Giannis Antetokounmpo,antetgi01,2023,4574,2115,3.378602594,1.927022233,5.305624826,2.646947148,1.836528724,4.483475873,3.402392686,1.978272754,5.38066544,8.923683983,9.313686034,-0.390002051,3.450266519,1.223376885,4.673643404,1.632325649
Shai Gilgeous-Alexander,gilgesh01,2023,5208,2416,5.376663626,-0.016099092,5.360564533,1.969240371,0.888547546,2.857787916,5.012311545,0.161661015,5.173972561,9.862722666,9.862722666,0,4.426448747,0.890325227,5.316773974,0.984718522
Fred VanVleet,vanvlfr01,2023,5188,2535,3.719554121,1.313895762,5.033449883,3.275341099,0.408601975,3.683943074,3.846770329,1.19643513,5.043205459,10.01087026,10.01087026,0,4.269331382,2.641534506,6.910865888,-0.686217088
Kevin Durant,duranke01,2023,4410,2138,4.484401137,-0.174977853,4.309423284,4.938113695,1.525901831,6.464015527,4.817806526,0.167129814,4.98493634,8.580182701,7.134923603,1.445259098,4.89358081,-0.30542468,4.58815613,1.191214527
James Harden,hardeja01,2023,5091,2562,5.409390428,0.509513715,5.918904144,1.302011139,-2.035115056,-0.733103917,4.836494707,-0.004251538,4.832243169,9.795656271,9.219172194,0.576484077,4.964376221,0.076043977,5.040420198,-0.972477902
Kristaps Porzingis,porzikr01,2023,4381,2120,2.820652539,2.008523076,4.829175616,3.557773305,-0.261504743,3.296268562,3.143316461,1.674959472,4.818275933,8.239962892,8.239962892,0,4.034577622,1.775832217,5.810409839,0.66500735
