player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Nikola Jokic,jokicni01,2023,6435,3112,8.961393288,4.308386388,13.26977968,9.417504462,0.28398393,9.701488391,9.522495986,3.696240246,13.21873623,25.86718649,20.31095212,5.556234367,9.32842589,3.641945093,12.97037098,1.533881009
Damian Lillard,lillada01,2023,4380,2107,9.445343617,-1.4631822,7.982161417,5.720774028,-1.21516191,4.505612118,9.282637307,-1.466140133,7.816497175,11.52147377,11.52147377,0,9.326933458,-1.449915102,7.877018356,1.444669869
Luka Doncic,doncilu01,2023,4863,2391,8.850354008,-0.325424058,8.52492995,3.659540065,-0.944346459,2.715193606,8.272469954,-0.448861942,7.823608013,12.98439297,12.98439297,0,7.922574452,-0.179550426,7.743024026,0.671190906
Stephen Curry,curryst01,2023,5300,2434,7.344270161,-1.371424242,5.972845919,5.967626648,0.093915367,6.061542015,7.483711948,-1.165317704,6.318394244,11.53278332,9.290962077,2.241821242,7.542090795,-0.83253008,6.709560714,1.821577389
Tyrese Haliburton,halibty01,2023,3980,1883,6.843374993,-1.151915347,5.691459645,5.110178422,-0.230994264,4.879184159,6.90247665,-0.996754181,5.90572247,8.293653176,8.293653176,0,6.901942533,-0.94972972,5.952212812,-0.266505782
Devin Booker,bookede01,2023,4744,2294,5.616372239,0.0022129,5.618585138,6.085777935,-1.933045959,4.152731976,6.044339993,-0.40810859,5.636231403,9.982043867,6.777622771,3.204421097,5.632922452,0.377524957,6.010447409,0.65083168
Donovan Mitchell,mitchdo01,2023,5302,2639,6.175217963,-1.055667583,5.11955038,2.910157656,-0.910314842,1.999842814,5.843208568,-1.13402043,4.709188138,10.06516728,9.445017296,0.620149982,6.103536532,-0.089046994,6.014489538,0.104877145
Jalen Brunson,brunsja01,2023,5693,2822,5.115748024,0.185944504,5.301692528,6.73403283,-5.291662172,1.442370658,5.733472855,-0.96048579,4.772987064,10.85507388,8.137780878,2.717292999,6.254472652,-0.195013256,6.059459396,-0.951975849
Kyrie Irving,irvinky01,2023,4597,2241,5.674015145,0.422870979,6.096886124,3.818152788,-0.031004275,3.787148513,5.614029838,0.35383528,5.967865118,9.952435022,9.952435022,0,5.855132436,1.003678457,6.858810893,-0.154666239
Jimmy Butler,butleji01,2023,6056,3012,6.424251905,1.263178165,7.687430069,0.196870207,-1.776203304,-1.579333097,5.529826992,0.687050867,6.216877859,13.79729141,10.11291687,3.684374541,4.798709248,1.351321629,6.150030877,-0.628741904
Shai Gilgeous-Alexander,gilgesh01,2023,5208,2416,5.376663626,-0.016099092,5.360564533,1.969240371,0.888547546,2.857787916,5.012311545,0.161661015,5.173972561,9.862722666,9.862722666,0,4.426448747,0.890325227,5.316773974,0.984718522
Kawhi Leonard,leonaka01,2023,3760,1828,4.558913299,1.731872401,6.2907857,4.912047185,1.886975177,6.799022362,4.906030984,1.865048206,6.771079189,8.844287545,8.450784505,0.39350304,4.524804707,1.777308415,6.302113121,-0.539800093
Trae Young,youngtr01,2023,6020,2771,5.777631144,-1.040471245,4.737159899,-0.108235619,-0.287140549,-0.395376168,4.871940089,-0.925286168,3.946653921,9.767049606,9.121715652,0.645333954,5.375345757,-1.720145785,3.655199972,3.000058628
James Harden,hardeja01,2023,5091,2562,5.409390428,0.509513715,5.918904144,1.302011139,-2.035115056,-0.733103917,4.836494707,-0.004251538,4.832243169,9.795656271,9.219172194,0.576484077,4.964376221,0.076043977,5.040420198,-0.972477902
Kevin Durant,duranke01,2023,4410,2138,4.484401137,-0.174977853,4.309423284,4.938113695,1.525901831,6.464015527,4.817806526,0.167129814,4.98493634,8.580182701,7.134923603,1.445259098,4.89358081,-0.30542468,4.58815613,1.191214527
Jayson Tatum,tatumja01,2023,7273,3531,4.251844059,-0.303487265,3.948356794,4.633274985,-0.104599599,4.528675386,4.497103899,-0.322135282,4.174968617,12.58922335,8.987495557,3.601727794,5.479057315,-0.102690416,5.376366898,-0.15447252
Ja Morant,moranja01,2023,4560,2135,5.19458888,0.53938891,5.73397779,0.396839552,2.678593123,3.075432675,4.486401255,0.976244155,5.46264541,9.047949834,8.390999269,0.656950565,3.426531292,1.033070727,4.459602019,0.937694732
De'Aaron Fox,foxde01,2023,5829,2705,4.45493535,-1.326320333,3.128615018,3.359170441,-3.760794169,-0.401623728,4.411788502,-1.899750282,2.512038221,7.346892625,7.18875497,0.158137655,4.172847348,-1.187411169,2.985436179,1.014855569
LeBron James,jamesle01,2023,5487,2573,4.083170315,-0.237473279,3.845697036,3.701910336,1.255314918,4.957225254,4.277237803,0.026776829,4.304014631,9.37538133,7.212252957,2.163128372,4.115699997,-0.437134225,3.678565773,0.580552101
Fred VanVleet,vanvlfr01,2023,5188,2535,3.719554121,1.313895762,5.033449883,3.275341099,0.408601975,3.683943074,3.846770329,1.19643513,5.043205459,10.01087026,10.01087026,0,4.269331382,2.641534506,6.910865888,-0.686217088
